Counts for pub 0: {'00': 1008, '10': 8, '01': 8}
Counts for pub 2205: {'01': 337, '11': 575, '10': 54, '00': 58}
Counts for pub 2206: {'01': 598, '11': 346, '10': 36, '00': 44}
Counts for pub 2207: {'10': 247, '11': 143, '01': 185, '00': 449}
Counts for pub 2208: {'01': 445, '00': 399, '10': 89, '11': 91}
Counts for pub 2209: {'01': 110, '00': 456, '10': 365, '11': 93}
Counts for pub 2210: {'00': 433, '01': 205, '11': 172, '10': 214}
Counts for pub 2211: {'01': 425, '11': 552, '10': 26, '00': 21}
Counts for pub 2212: {'10': 345, '01': 148, '00': 373, '11': 158}
Counts for pub 2213: {'01': 373, '00': 257, '10': 155, '11': 239}
Counts for pub 2214: {'00': 501, '01': 377, '11': 82, '10': 64}
Counts for pub 2215: {'11': 297, '00': 661, '01': 30, '10': 36}
Counts for pub 2216: {'01': 568, '11': 302, '10': 49, '00': 105}
Counts for pub 2217: {'11': 681, '01': 71, '00': 233, '10': 39}
Counts for pub 2218: {'10': 193, '11': 328, '01': 296, '00': 207}
Counts for pub 2219: {'01': 417, '00': 530, '10': 32, '11': 45}
Counts for pub 2220: {'11': 458, '01': 381, '10': 93, '00': 92}
Counts for pub 2221: {'11': 388, '10': 149, '00': 169, '01': 318}
Counts for pub 2222: {'10': 643, '00': 255, '11': 79, '01': 47}
Counts for pub 2223: {'10': 239, '11': 244, '00': 352, '01': 189}
Counts for pub 2224: {'01': 389, '00': 560, '11': 35, '10': 40}
Counts for pub 2225: {'01': 125, '11': 746, '10': 52, '00': 101}
Counts for pub 2226: {'01': 504, '00': 339, '10': 101, '11': 80}
Counts for pub 2227: {'00': 172, '10': 122, '11': 569, '01': 161}
Counts for pub 2228: {'11': 140, '00': 408, '01': 145, '10': 331}
Counts for pub 2229: {'10': 334, '00': 391, '11': 157, '01': 142}
Counts for pub 2230: {'00': 109, '01': 425, '10': 401, '11': 89}
Counts for pub 2231: {'10': 407, '01': 133, '00': 161, '11': 323}
Counts for pub 2232: {'00': 1012, '10': 11, '01': 1}
Counts for pub 2233: {'10': 779, '00': 198, '11': 38, '01': 9}
Counts for pub 2234: {'01': 141, '11': 27, '00': 29, '10': 827}
Counts for pub 2235: {'00': 785, '10': 74, '11': 101, '01': 64}
Counts for pub 2236: {'01': 116, '11': 784, '10': 102, '00': 22}
Counts for pub 2237: {'01': 862, '11': 46, '00': 82, '10': 34}
Counts for pub 2238: {'00': 84, '01': 320, '11': 540, '10': 80}
Counts for pub 2239: {'11': 511, '01': 450, '10': 27, '00': 36}
Counts for pub 2240: {'00': 863, '11': 98, '10': 18, '01': 45}
Counts for pub 2241: {'01': 56, '10': 650, '11': 65, '00': 253}
Counts for pub 2242: {'00': 821, '01': 112, '11': 9, '10': 82}
Counts for pub 2243: {'11': 39, '00': 954, '01': 17, '10': 14}
Counts for pub 2244: {'00': 267, '10': 247, '01': 228, '11': 282}
Counts for pub 2245: {'00': 597, '11': 354, '01': 45, '10': 28}
Counts for pub 2246: {'00': 618, '11': 328, '10': 31, '01': 47}
Counts for pub 2247: {'11': 288, '00': 203, '10': 187, '01': 346}
Counts for pub 2248: {'00': 628, '11': 312, '01': 55, '10': 29}
Counts for pub 2249: {'01': 452, '11': 518, '00': 28, '10': 26}
Counts for pub 2250: {'00': 912, '11': 56, '01': 39, '10': 17}
Counts for pub 2251: {'00': 935, '01': 24, '11': 51, '10': 14}
Counts for pub 2252: {'11': 513, '00': 284, '10': 135, '01': 92}
Counts for pub 2253: {'11': 605, '00': 194, '01': 161, '10': 64}
Counts for pub 2254: {'10': 193, '11': 514, '00': 167, '01': 150}
Counts for pub 2255: {'00': 940, '10': 21, '01': 23, '11': 40}
Counts for pub 2256: {'00': 918, '10': 17, '01': 35, '11': 54}
Counts for pub 2257: {'01': 452, '00': 464, '10': 56, '11': 52}
Counts for pub 2258: {'01': 239, '10': 168, '00': 207, '11': 410}
Counts for pub 2259: {'00': 681, '11': 123, '01': 110, '10': 110}
Counts for pub 2260: {'01': 307, '10': 145, '00': 488, '11': 84}
Counts for pub 2261: {'00': 745, '01': 188, '10': 76, '11': 15}
Counts for pub 2262: {'00': 647, '11': 222, '10': 52, '01': 103}
Counts for pub 2263: {'00': 905, '10': 81, '01': 34, '11': 4}
Counts for pub 2264: {'11': 230, '10': 274, '01': 214, '00': 306}
Counts for pub 2265: {'01': 379, '11': 634, '10': 4, '00': 7}
Counts for pub 2266: {'00': 874, '11': 80, '01': 54, '10': 16}
Counts for pub 2267: {'11': 637, '01': 378, '10': 4, '00': 5}
Counts for pub 2268: {'00': 1010, '01': 7, '10': 7}
Counts for pub 2269: {'11': 304, '00': 640, '01': 49, '10': 31}
Counts for pub 2270: {'00': 497, '01': 185, '11': 257, '10': 85}
Counts for pub 2271: {'00': 799, '10': 82, '11': 93, '01': 50}
Counts for pub 2272: {'01': 192, '10': 293, '00': 357, '11': 182}
Counts for pub 2273: {'10': 237, '11': 755, '01': 22, '00': 10}
Counts for pub 2274: {'00': 939, '10': 20, '11': 38, '01': 27}
Counts for pub 2275: {'10': 287, '11': 213, '01': 242, '00': 282}
Counts for pub 2276: {'10': 298, '00': 221, '11': 260, '01': 245}
Counts for pub 2277: {'00': 570, '11': 290, '10': 95, '01': 69}
Counts for pub 2278: {'00': 883, '11': 84, '10': 14, '01': 43}
Counts for pub 2279: {'01': 288, '10': 161, '00': 171, '11': 404}
Counts for pub 2280: {'00': 792, '01': 53, '11': 91, '10': 88}
Counts for pub 2281: {'00': 851, '11': 111, '01': 44, '10': 18}
Counts for pub 2282: {'11': 293, '00': 650, '01': 48, '10': 33}
Counts for pub 2283: {'00': 148, '11': 262, '10': 547, '01': 67}
Counts for pub 2284: {'00': 10, '11': 699, '10': 301, '01': 14}
Counts for pub 2285: {'00': 903, '11': 78, '01': 34, '10': 9}
Counts for pub 2286: {'00': 890, '10': 82, '01': 43, '11': 9}
Counts for pub 2287: {'11': 595, '10': 323, '00': 74, '01': 32}
Counts for pub 2288: {'00': 279, '11': 222, '01': 257, '10': 266}
Counts for pub 2289: {'01': 21, '11': 742, '10': 244, '00': 17}
Counts for pub 2290: {'00': 176, '01': 517, '10': 186, '11': 145}
Counts for pub 2291: {'00': 936, '01': 26, '11': 43, '10': 19}
Counts for pub 2292: {'11': 658, '01': 45, '10': 105, '00': 216}
Counts for pub 2293: {'01': 340, '00': 576, '10': 57, '11': 51}
Counts for pub 2294: {'10': 311, '11': 429, '00': 122, '01': 162}
Counts for pub 2295: {'01': 384, '00': 167, '11': 316, '10': 157}
Counts for pub 2296: {'00': 771, '10': 61, '01': 176, '11': 16}
Counts for pub 2297: {'00': 635, '10': 119, '11': 193, '01': 77}
Counts for pub 2298: {'00': 583, '10': 45, '11': 321, '01': 75}
Counts for pub 2299: {'01': 324, '00': 237, '11': 296, '10': 167}
Counts for pub 2300: {'10': 798, '01': 152, '11': 30, '00': 44}
Counts for pub 2301: {'00': 656, '11': 294, '01': 41, '10': 33}
Counts for pub 2302: {'11': 753, '01': 123, '00': 44, '10': 104}
Counts for pub 2303: {'11': 509, '00': 288, '10': 145, '01': 82}
Counts for pub 2304: {'10': 192, '11': 281, '01': 337, '00': 214}
Counts for pub 2305: {'00': 793, '10': 80, '11': 99, '01': 52}
Counts for pub 2306: {'00': 296, '11': 239, '10': 243, '01': 246}
Counts for pub 2307: {'10': 588, '01': 183, '00': 158, '11': 95}
Counts for pub 2308: {'11': 646, '00': 231, '10': 106, '01': 41}
Counts for pub 2309: {'11': 652, '10': 122, '00': 211, '01': 39}
Counts for pub 2310: {'00': 267, '01': 220, '10': 255, '11': 282}
Counts for pub 2311: {'01': 591, '00': 391, '10': 19, '11': 23}
Counts for pub 2312: {'11': 639, '01': 375, '10': 9, '00': 1}
Counts for pub 2313: {'11': 764, '01': 197, '10': 48, '00': 15}
Counts for pub 2314: {'11': 461, '01': 371, '00': 107, '10': 85}
Counts for pub 2315: {'11': 739, '01': 129, '10': 51, '00': 105}
Counts for pub 2316: {'00': 816, '01': 117, '11': 10, '10': 81}
Counts for pub 2317: {'00': 171, '10': 692, '01': 59, '11': 102}
Counts for pub 2318: {'11': 106, '00': 858, '01': 46, '10': 14}
Counts for pub 2319: {'00': 959, '10': 21, '01': 16, '11': 28}
Counts for pub 2320: {'00': 345, '11': 623, '10': 27, '01': 29}
Counts for pub 2321: {'10': 532, '11': 181, '01': 133, '00': 178}
Counts for pub 2322: {'11': 248, '00': 618, '01': 62, '10': 96}
Counts for pub 2323: {'11': 139, '00': 830, '01': 39, '10': 16}
Counts for pub 2324: {'10': 336, '00': 572, '01': 62, '11': 54}
Counts for pub 2325: {'00': 1016, '10': 5, '01': 3}
Counts for pub 2326: {'00': 1016, '10': 6, '01': 2}
Counts for pub 2327: {'10': 223, '00': 327, '01': 271, '11': 203}
Counts for pub 2328: {'00': 1015, '01': 3, '10': 6}
Counts for pub 2329: {'01': 187, '00': 327, '11': 317, '10': 193}
Counts for pub 2330: {'11': 499, '00': 388, '01': 61, '10': 76}
Counts for pub 2331: {'11': 522, '00': 381, '10': 64, '01': 57}
Counts for pub 2332: {'11': 70, '01': 323, '00': 583, '10': 48}
Counts for pub 2333: {'11': 164, '00': 708, '10': 90, '01': 62}
Counts for pub 2334: {'00': 370, '10': 204, '01': 275, '11': 175}
Counts for pub 2335: {'00': 814, '11': 159, '10': 13, '01': 38}
Counts for pub 2336: {'11': 491, '00': 407, '10': 80, '01': 46}
Counts for pub 2337: {'10': 138, '01': 528, '00': 259, '11': 99}
Counts for pub 2338: {'00': 403, '10': 350, '01': 134, '11': 137}
Counts for pub 2339: {'11': 512, '01': 97, '00': 244, '10': 171}
Counts for pub 2340: {'00': 379, '11': 338, '10': 145, '01': 162}
Counts for pub 2341: {'11': 374, '00': 551, '01': 58, '10': 41}
Counts for pub 2342: {'01': 279, '00': 688, '10': 39, '11': 18}
Counts for pub 2343: {'01': 33, '00': 637, '11': 309, '10': 45}
Counts for pub 2344: {'11': 60, '00': 510, '10': 322, '01': 132}
Counts for pub 2345: {'11': 380, '10': 154, '01': 283, '00': 207}
Counts for pub 2346: {'00': 363, '01': 16, '11': 625, '10': 20}
Counts for pub 2347: {'11': 380, '00': 190, '10': 140, '01': 314}
Counts for pub 2348: {'00': 615, '11': 323, '01': 45, '10': 41}
Counts for pub 2349: {'00': 1013, '10': 7, '01': 4}
Counts for pub 2350: {'01': 390, '00': 589, '10': 33, '11': 12}
Counts for pub 2351: {'11': 560, '00': 283, '01': 95, '10': 86}
Counts for pub 2352: {'01': 238, '10': 269, '11': 272, '00': 245}
Counts for pub 2353: {'01': 56, '00': 400, '11': 501, '10': 67}
Counts for pub 2354: {'00': 798, '11': 167, '10': 21, '01': 38}
Counts for pub 2355: {'00': 542, '10': 296, '01': 116, '11': 70}
Counts for pub 2356: {'10': 384, '11': 622, '00': 11, '01': 7}
Counts for pub 2357: {'11': 693, '00': 92, '10': 141, '01': 98}
Counts for pub 2358: {'00': 332, '11': 649, '01': 19, '10': 24}
Counts for pub 2359: {'01': 86, '00': 545, '10': 308, '11': 85}
Counts for pub 2360: {'11': 578, '00': 307, '10': 46, '01': 93}
Counts for pub 2361: {'11': 644, '00': 343, '01': 15, '10': 22}
Counts for pub 2362: {'00': 1015, '10': 6, '01': 3}
Counts for pub 2363: {'11': 189, '00': 206, '10': 397, '01': 232}
Counts for pub 2364: {'10': 340, '00': 156, '11': 375, '01': 153}
Counts for pub 2365: {'11': 605, '00': 373, '10': 26, '01': 20}
Counts for pub 2366: {'00': 590, '11': 243, '01': 123, '10': 68}
Counts for pub 2367: {'11': 772, '10': 152, '01': 38, '00': 62}
Counts for pub 2368: {'11': 136, '01': 192, '10': 261, '00': 435}
Counts for pub 2369: {'00': 397, '11': 515, '10': 52, '01': 60}
Counts for pub 2370: {'10': 46, '01': 521, '00': 391, '11': 66}
Counts for pub 2371: {'00': 796, '11': 164, '01': 47, '10': 17}
Counts for pub 2372: {'00': 795, '11': 171, '01': 40, '10': 18}
Counts for pub 2373: {'10': 116, '01': 453, '00': 365, '11': 90}
Counts for pub 2374: {'00': 283, '01': 316, '10': 213, '11': 212}
Counts for pub 2375: {'10': 533, '00': 305, '11': 88, '01': 98}
Counts for pub 2376: {'00': 551, '11': 351, '10': 54, '01': 68}
Counts for pub 2377: {'00': 784, '10': 200, '01': 27, '11': 13}
Counts for pub 2378: {'11': 729, '01': 30, '10': 187, '00': 78}
Counts for pub 2379: {'00': 324, '11': 198, '10': 227, '01': 275}
Counts for pub 2380: {'01': 620, '10': 285, '00': 76, '11': 43}
Counts for pub 2381: {'00': 1010, '01': 4, '10': 10}
Counts for pub 2382: {'11': 737, '00': 159, '10': 46, '01': 82}
Counts for pub 2383: {'11': 79, '00': 567, '01': 335, '10': 43}
Counts for pub 2384: {'01': 290, '00': 319, '10': 228, '11': 187}
Counts for pub 2385: {'11': 554, '00': 302, '01': 101, '10': 67}
Counts for pub 2386: {'00': 427, '10': 250, '01': 212, '11': 135}
Counts for pub 2387: {'00': 117, '10': 662, '01': 43, '11': 202}
Counts for pub 2388: {'01': 40, '00': 764, '11': 201, '10': 19}
Counts for pub 2389: {'00': 827, '11': 142, '01': 40, '10': 15}
Counts for pub 2390: {'00': 586, '10': 319, '01': 75, '11': 44}
Counts for pub 2391: {'00': 306, '10': 198, '11': 306, '01': 214}
Counts for pub 2392: {'11': 351, '00': 230, '01': 269, '10': 174}
Counts for pub 2393: {'11': 568, '01': 87, '00': 304, '10': 65}
Counts for pub 2394: {'11': 183, '10': 255, '00': 472, '01': 114}
Counts for pub 2395: {'00': 475, '10': 157, '11': 268, '01': 124}
Counts for pub 2396: {'00': 608, '11': 248, '10': 101, '01': 67}
Counts for pub 2397: {'10': 585, '01': 127, '11': 77, '00': 235}
Counts for pub 2398: {'11': 83, '00': 798, '10': 20, '01': 123}
Counts for pub 2399: {'00': 798, '11': 182, '01': 30, '10': 14}
Counts for pub 2400: {'10': 249, '11': 389, '01': 136, '00': 250}
Counts for pub 2401: {'00': 273, '11': 97, '10': 517, '01': 137}
Counts for pub 2402: {'00': 332, '01': 387, '10': 167, '11': 138}
Counts for pub 2403: {'00': 596, '01': 244, '10': 80, '11': 104}
Counts for pub 2404: {'01': 292, '00': 188, '10': 189, '11': 355}
Counts for pub 2405: {'00': 582, '10': 31, '01': 396, '11': 15}
Counts for pub 2406: {'00': 566, '01': 413, '10': 28, '11': 17}
Counts for pub 2407: {'11': 453, '00': 100, '01': 379, '10': 92}
Counts for pub 2408: {'00': 584, '10': 22, '01': 404, '11': 14}
Counts for pub 2409: {'01': 259, '00': 245, '10': 269, '11': 251}
Counts for pub 2410: {'00': 354, '11': 476, '01': 85, '10': 109}
Counts for pub 2411: {'11': 451, '01': 104, '00': 376, '10': 93}
Counts for pub 2412: {'11': 97, '00': 876, '10': 21, '01': 30}
Counts for pub 2413: {'00': 475, '01': 173, '10': 210, '11': 166}
Counts for pub 2414: {'00': 670, '11': 191, '01': 47, '10': 116}
Counts for pub 2415: {'00': 587, '01': 247, '11': 124, '10': 66}
Counts for pub 2416: {'11': 468, '00': 367, '10': 97, '01': 92}
Counts for pub 2417: {'00': 655, '10': 115, '11': 158, '01': 96}
Counts for pub 2418: {'00': 598, '01': 66, '11': 99, '10': 261}
Counts for pub 2419: {'11': 519, '00': 246, '01': 157, '10': 102}
Counts for pub 2420: {'00': 197, '11': 173, '10': 300, '01': 354}
Counts for pub 2421: {'10': 248, '01': 356, '11': 173, '00': 247}
Counts for pub 2422: {'00': 963, '01': 37, '11': 9, '10': 15}
Counts for pub 2423: {'00': 406, '01': 249, '11': 222, '10': 147}
Counts for pub 2424: {'11': 452, '01': 376, '00': 96, '10': 100}
Counts for pub 2425: {'00': 251, '11': 389, '10': 205, '01': 179}
Counts for pub 2426: {'10': 247, '11': 381, '00': 246, '01': 150}
Counts for pub 2427: {'11': 392, '00': 205, '10': 200, '01': 227}
Counts for pub 2428: {'11': 259, '00': 521, '01': 157, '10': 87}
Counts for pub 2429: {'00': 609, '01': 370, '11': 19, '10': 26}
Counts for pub 2430: {'00': 1012, '01': 5, '10': 7}
Counts for pub 2431: {'10': 249, '00': 261, '01': 164, '11': 350}
Counts for pub 2432: {'10': 359, '00': 547, '11': 66, '01': 52}
Counts for pub 2433: {'10': 394, '00': 136, '11': 171, '01': 323}
Counts for pub 2434: {'01': 231, '10': 67, '00': 569, '11': 157}
Counts for pub 2435: {'01': 370, '11': 462, '10': 100, '00': 92}
Counts for pub 2436: {'10': 861, '11': 102, '00': 38, '01': 23}
Counts for pub 2437: {'10': 108, '11': 632, '01': 186, '00': 98}
Counts for pub 2438: {'00': 241, '11': 404, '10': 238, '01': 141}
Counts for pub 2439: {'10': 266, '11': 279, '00': 221, '01': 258}
Counts for pub 2440: {'11': 384, '10': 266, '00': 223, '01': 151}
Counts for pub 2441: {'11': 403, '10': 259, '01': 148, '00': 214}
Counts for pub 2442: {'01': 402, '00': 574, '10': 27, '11': 21}
Counts for pub 2443: {'00': 272, '11': 446, '10': 163, '01': 143}
Counts for pub 2444: {'11': 697, '00': 267, '01': 33, '10': 27}
Counts for pub 2445: {'10': 252, '11': 368, '00': 244, '01': 160}
Counts for pub 2446: {'11': 228, '00': 606, '10': 101, '01': 89}
Counts for pub 2447: {'10': 753, '11': 183, '01': 63, '00': 25}
Counts for pub 2448: {'01': 384, '11': 494, '00': 66, '10': 80}
Counts for pub 2449: {'01': 301, '10': 389, '11': 189, '00': 145}
Counts for pub 2450: {'01': 779, '11': 213, '10': 16, '00': 16}
Counts for pub 2451: {'00': 622, '11': 128, '01': 209, '10': 65}
Counts for pub 2452: {'00': 369, '01': 447, '10': 116, '11': 92}
Counts for pub 2453: {'00': 718, '01': 49, '10': 99, '11': 158}
Counts for pub 2454: {'00': 559, '01': 81, '11': 288, '10': 96}
Counts for pub 2455: {'11': 149, '10': 357, '00': 373, '01': 145}
Counts for pub 2456: {'10': 244, '11': 182, '01': 366, '00': 232}
Counts for pub 2457: {'00': 591, '01': 339, '10': 65, '11': 29}
Counts for pub 2458: {'11': 847, '01': 45, '00': 74, '10': 58}
Counts for pub 2459: {'11': 469, '01': 358, '00': 110, '10': 87}
Counts for pub 2460: {'01': 568, '00': 110, '10': 264, '11': 82}
Counts for pub 2461: {'01': 392, '00': 593, '10': 27, '11': 12}
Counts for pub 2462: {'10': 350, '11': 357, '01': 162, '00': 155}
Counts for pub 2463: {'00': 891, '11': 93, '10': 16, '01': 24}
Counts for pub 2464: {'11': 437, '01': 382, '10': 101, '00': 104}
Counts for pub 2465: {'01': 160, '00': 222, '10': 243, '11': 399}
Counts for pub 2466: {'11': 484, '01': 413, '10': 74, '00': 53}
Counts for pub 2467: {'10': 690, '00': 260, '11': 45, '01': 29}
Counts for pub 2468: {'01': 451, '00': 367, '11': 91, '10': 115}
Counts for pub 2469: {'01': 427, '11': 106, '00': 372, '10': 119}
Counts for pub 2470: {'10': 206, '11': 355, '00': 169, '01': 294}
Counts for pub 2471: {'01': 486, '10': 472, '11': 28, '00': 38}
Counts for pub 2472: {'00': 224, '01': 205, '11': 380, '10': 215}
Counts for pub 2473: {'00': 211, '10': 239, '11': 334, '01': 240}
Counts for pub 2474: {'10': 295, '00': 283, '11': 206, '01': 240}
Counts for pub 2475: {'00': 536, '11': 302, '01': 101, '10': 85}
Counts for pub 2476: {'00': 340, '01': 402, '10': 161, '11': 121}
Counts for pub 2477: {'01': 136, '10': 370, '00': 139, '11': 379}
Counts for pub 2478: {'00': 792, '01': 130, '11': 77, '10': 25}
Counts for pub 2479: {'00': 594, '11': 139, '01': 220, '10': 71}
Counts for pub 2480: {'10': 81, '00': 918, '01': 19, '11': 6}
Counts for pub 2481: {'00': 352, '01': 165, '10': 318, '11': 189}
Counts for pub 2482: {'00': 845, '11': 134, '10': 9, '01': 36}
Counts for pub 2483: {'00': 672, '10': 112, '11': 182, '01': 58}
Counts for pub 2484: {'01': 561, '10': 164, '00': 99, '11': 200}
Counts for pub 2485: {'11': 543, '00': 316, '10': 70, '01': 95}
Counts for pub 2486: {'00': 334, '11': 532, '01': 97, '10': 61}
Counts for pub 2487: {'00': 190, '10': 344, '01': 223, '11': 267}
Counts for pub 2488: {'00': 310, '11': 571, '01': 90, '10': 53}
Counts for pub 2489: {'11': 276, '01': 662, '10': 46, '00': 40}
Counts for pub 2490: {'00': 776, '10': 120, '11': 25, '01': 103}
Counts for pub 2491: {'11': 22, '00': 767, '10': 122, '01': 113}
Counts for pub 2492: {'11': 566, '00': 69, '10': 314, '01': 75}
Counts for pub 2493: {'01': 451, '11': 488, '00': 43, '10': 42}
Counts for pub 2494: {'10': 390, '11': 574, '00': 28, '01': 32}
Counts for pub 2495: {'00': 641, '11': 220, '10': 111, '01': 52}
Counts for pub 2496: {'00': 767, '01': 100, '10': 124, '11': 33}
Counts for pub 2497: {'01': 425, '00': 195, '10': 198, '11': 206}
Counts for pub 2498: {'11': 648, '00': 94, '01': 106, '10': 176}
Counts for pub 2499: {'00': 492, '10': 284, '01': 155, '11': 93}
Counts for pub 2500: {'01': 134, '10': 349, '00': 424, '11': 117}
Counts for pub 2501: {'00': 638, '10': 253, '11': 75, '01': 58}
Counts for pub 2502: {'00': 339, '01': 142, '10': 149, '11': 394}
Counts for pub 2503: {'10': 271, '11': 91, '00': 624, '01': 38}
Counts for pub 2504: {'10': 262, '00': 170, '11': 193, '01': 399}
Counts for pub 2505: {'11': 754, '01': 132, '10': 49, '00': 89}
Counts for pub 2506: {'00': 919, '10': 77, '01': 26, '11': 2}
Counts for pub 2507: {'10': 59, '11': 739, '00': 95, '01': 131}
Counts for pub 2508: {'00': 799, '01': 62, '10': 63, '11': 100}
Counts for pub 2509: {'11': 545, '01': 96, '00': 324, '10': 59}
Counts for pub 2510: {'11': 380, '00': 229, '01': 160, '10': 255}
Counts for pub 2511: {'00': 1015, '10': 8, '01': 1}
Counts for pub 2512: {'01': 309, '00': 315, '10': 201, '11': 199}
Counts for pub 2513: {'11': 757, '01': 126, '10': 103, '00': 38}
Counts for pub 2514: {'00': 642, '01': 68, '10': 117, '11': 197}
Counts for pub 2515: {'01': 401, '11': 199, '10': 247, '00': 177}
